,ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
0,2018,2018,0,Total,102448,16740.0,"Census Tract 1, Philadelphia County, PA",14000US42101000100
1,2018,2018,0,Total,47243,14802.999999999998,"Census Tract 2, Philadelphia County, PA",14000US42101000200
2,2018,2018,0,Total,91354,18636.0,"Census Tract 3, Philadelphia County, PA",14000US42101000300
3,2018,2018,0,Total,62821,10734.0,"Census Tract 4.01, Philadelphia County, PA",14000US42101000401
4,2018,2018,0,Total,78648,6162.0,"Census Tract 4.02, Philadelphia County, PA",14000US42101000402
5,2018,2018,0,Total,43702,10876.0,"Census Tract 5, Philadelphia County, PA",14000US42101000500
6,2018,2018,0,Total,82833,10530.0,"Census Tract 6, Philadelphia County, PA",14000US42101000600
7,2018,2018,0,Total,55250,10248.0,"Census Tract 7, Philadelphia County, PA",14000US42101000700
8,2018,2018,0,Total,125822,26461.0,"Census Tract 8.01, Philadelphia County, PA",14000US42101000801
9,2018,2018,0,Total,59560,7595.999999999999,"Census Tract 8.03, Philadelphia County, PA",14000US42101000803
10,2018,2018,0,Total,92281,14276.0,"Census Tract 8.04, Philadelphia County, PA",14000US42101000804
11,2018,2018,0,Total,44444,10013.0,"Census Tract 9.01, Philadelphia County, PA",14000US42101000901
12,2018,2018,0,Total,59174,15901.0,"Census Tract 9.02, Philadelphia County, PA",14000US42101000902
13,2018,2018,0,Total,104250,15171.999999999998,"Census Tract 10.01, Philadelphia County, PA",14000US42101001001
14,2018,2018,0,Total,122358,13921.0,"Census Tract 10.02, Philadelphia County, PA",14000US42101001002
15,2018,2018,0,Total,65000,25673.0,"Census Tract 11.01, Philadelphia County, PA",14000US42101001101
16,2018,2018,0,Total,64038,29561.0,"Census Tract 11.02, Philadelphia County, PA",14000US42101001102
17,2018,2018,0,Total,107175,20249.0,"Census Tract 12.01, Philadelphia County, PA",14000US42101001201
18,2018,2018,0,Total,80696,10897.0,"Census Tract 12.02, Philadelphia County, PA",14000US42101001202
19,2018,2018,0,Total,111467,16279.0,"Census Tract 13, Philadelphia County, PA",14000US42101001300
20,2018,2018,0,Total,94049,19913.0,"Census Tract 14, Philadelphia County, PA",14000US42101001400
21,2018,2018,0,Total,66458,17280.0,"Census Tract 15, Philadelphia County, PA",14000US42101001500
22,2018,2018,0,Total,96417,17284.0,"Census Tract 16, Philadelphia County, PA",14000US42101001600
23,2018,2018,0,Total,108125,27145.0,"Census Tract 17, Philadelphia County, PA",14000US42101001700
24,2018,2018,0,Total,86042,20405.0,"Census Tract 18, Philadelphia County, PA",14000US42101001800
25,2018,2018,0,Total,91188,11809.0,"Census Tract 19, Philadelphia County, PA",14000US42101001900
26,2018,2018,0,Total,42500,9953.0,"Census Tract 20, Philadelphia County, PA",14000US42101002000
27,2018,2018,0,Total,53429,7155.0,"Census Tract 21, Philadelphia County, PA",14000US42101002100
28,2018,2018,0,Total,63628,5141.0,"Census Tract 22, Philadelphia County, PA",14000US42101002200
29,2018,2018,0,Total,64107,16905.0,"Census Tract 23, Philadelphia County, PA",14000US42101002300
30,2018,2018,0,Total,74395,13546.999999999998,"Census Tract 24, Philadelphia County, PA",14000US42101002400
31,2018,2018,0,Total,60179,19442.0,"Census Tract 25, Philadelphia County, PA",14000US42101002500
32,2018,2018,0,Total,54957,8833.0,"Census Tract 27.01, Philadelphia County, PA",14000US42101002701
33,2018,2018,0,Total,66042,14116.0,"Census Tract 27.02, Philadelphia County, PA",14000US42101002702
34,2018,2018,0,Total,52340,4679.0,"Census Tract 28.01, Philadelphia County, PA",14000US42101002801
35,2018,2018,0,Total,67183,6881.0,"Census Tract 28.02, Philadelphia County, PA",14000US42101002802
36,2018,2018,0,Total,52452,24896.0,"Census Tract 29, Philadelphia County, PA",14000US42101002900
37,2018,2018,0,Total,51667,8913.0,"Census Tract 30.01, Philadelphia County, PA",14000US42101003001
38,2018,2018,0,Total,32115,19032.0,"Census Tract 30.02, Philadelphia County, PA",14000US42101003002
39,2018,2018,0,Total,37121,6155.0,"Census Tract 31, Philadelphia County, PA",14000US42101003100
40,2018,2018,0,Total,25000,5893.0,"Census Tract 32, Philadelphia County, PA",14000US42101003200
41,2018,2018,0,Total,32438,8140.0,"Census Tract 33, Philadelphia County, PA",14000US42101003300
42,2018,2018,0,Total,18920,2355.0,"Census Tract 36, Philadelphia County, PA",14000US42101003600
43,2018,2018,0,Total,30237,11012.0,"Census Tract 37.01, Philadelphia County, PA",14000US42101003701
44,2018,2018,0,Total,35267,4443.0,"Census Tract 37.02, Philadelphia County, PA",14000US42101003702
45,2018,2018,0,Total,59395,9268.0,"Census Tract 38, Philadelphia County, PA",14000US42101003800
46,2018,2018,0,Total,44643,17100.0,"Census Tract 39.01, Philadelphia County, PA",14000US42101003901
47,2018,2018,0,Total,62466,5275.0,"Census Tract 39.02, Philadelphia County, PA",14000US42101003902
48,2018,2018,0,Total,52250,9290.0,"Census Tract 40.01, Philadelphia County, PA",14000US42101004001
49,2018,2018,0,Total,58516,7652.999999999999,"Census Tract 40.02, Philadelphia County, PA",14000US42101004002
50,2018,2018,0,Total,33149,2539.0,"Census Tract 41.01, Philadelphia County, PA",14000US42101004101
51,2018,2018,0,Total,39110,13573.0,"Census Tract 41.02, Philadelphia County, PA",14000US42101004102
