Publication Name,Abbreviated Name,School Level,Admission Type,Current Grade Span Served,GPS Location,Street Address,Website,SPR_Score
John Bartram High School,Bartram,High,Neighborhood,'09-12,"39.92149737, -75.23405562",2401 S 67TH ST,http://philasd.org/bartram,19
West Philadelphia High School,West Philadelphia,High,Neighborhood,'09-12,"39.958110, -75.219654",4901 CHESTNUT ST,http://philasd.org/wphs,23
High School of the Future,HS of Future,High,Citywide,'09-12,"39.97465766, -75.2047566",4021 PARKSIDE AVE,http://philasd.org/sof,24
Paul Robeson High School for Human Services,Robeson,High,Citywide,'09-12,"39.95679553, -75.20476311",4125 LUDLOW ST,http://philasd.org/robeson,49
William L. Sayre High School,Sayre,High,Neighborhood,'09-12,"39.95759354, -75.23859405",5800 WALNUT ST,http://philasd.org/sayre,12
William T. Tilden School,Tilden,Middle,Neighborhood,'05-08,"39.92093619, -75.23227632",6601 ELMWOOD AVE,http://philasd.org/tilden,41
Motivation High School,Motivation,High,Special Admit,'09-12,"39.94453199, -75.24184422",5900 BALTIMORE AVE,http://philasd.org/motivationhs,41
John Barry School,Barry,Elementary-Middle,Neighborhood,'00-08,"39.96437494, -75.23860376",5900 RACE ST,http://philasd.org/barry,23
William C. Bryant School,Bryant,Elementary-Middle,Neighborhood,'00-08,"39.952687, -75.243691",6001 CEDAR AVE,http://philasd.org/bryant,13
Joseph W. Catharine School,Catharine,Elementary,Neighborhood,'00-05,"39.927435, -75.239911",6600 CHESTER AVE,http://philasd.org/catharine,39
Benjamin B. Comegys School,Comegys,Elementary-Middle,Neighborhood,'00-08,"39.940520, -75.216289",5100 GREENWAY AVE,http://philasd.org/comegys,26
Sadie Alexander School,Penn Alexander,Elementary-Middle,Neighborhood,'00-08,"39.953099, -75.208187",4209 SPRUCE ST,http://philasd.org/pennalexander,93
Andrew Hamilton School,Hamilton,Elementary-Middle,Neighborhood,'00-08,"39.955438, -75.235543",5640 SPRUCE ST,http://philasd.org/hamilton,45
Avery D. Harrington School,Harrington,Elementary-Middle,Neighborhood,'00-08,"39.94736517, -75.23059508",5300 BALTIMORE AVE,http://philasd.org/harrington,40
Henry C. Lea School,Lea,Elementary-Middle,Neighborhood,'00-08,"39.954515, -75.216347",4700 LOCUST ST,http://philasd.org/lea,55
William C. Longstreth School,Longstreth,Elementary-Middle,Neighborhood,'00-08,"39.94090823, -75.23237316",5700 WILLOWS AVE,http://philasd.org/longstreth,44
Morton McMichael School,McMichael,Elementary-Middle,Neighborhood,'00-08,"39.96619727, -75.19411487",3543 FAIRMOUNT AVE,http://philasd.org/mcmichael,29
S. Weir Mitchell School,Mitchell,Elementary-Middle,Neighborhood,'00-08,"39.93681427, -75.223291",5500 KINGSESSING AVE,http://philasd.org/mitchell,37
Thomas G. Morton School,Morton,Elementary,Neighborhood,'00-05,"39.92346826, -75.22690015",2501 S 63RD ST,http://philasd.org/morton,31
Samuel Powel School,Powel,Elementary,Neighborhood,'00-04,"39.9599324, -75.19370686",301 N 36TH ST,http://philasd.org/powel,55
John M. Patterson School,Patterson,Elementary,Neighborhood,'00-04,"39.916095, -75.236762",7000 BUIST AVE,http://philasd.org/patterson,32
James Rhoads School,Rhoads,Elementary-Middle,Neighborhood,'00-08,"39.967339, -75.220063",4901 PARRISH ST,http://philasd.org/rhoads,19
Martha Washington School,"Washington, Martha",Elementary-Middle,Neighborhood,'00-08,"39.966206, -75.211179",766 N 44TH ST,http://philasd.org/mwashington,41
Penrose School,Penrose,Elementary-Middle,Neighborhood,'00-08,"39.90692358, -75.24865833",2515 S 78TH ST,http://philasd.org/penrose,29
Add B. Anderson School,Anderson,Elementary-Middle,Neighborhood,'00-08,"39.946726, -75.245717",1034 S 60TH ST,http://philasd.org/anderson,30
Alain Locke School,Locke,Elementary-Middle,Neighborhood,'00-08,"39.96262376, -75.21245097",4550 HAVERFORD AVE,http://philasd.org/locke,32
Rudolph Blankenburg School,Blankenburg,Elementary-Middle,Neighborhood,'00-08,"39.97296312, -75.21388868",4600 W GIRARD AVE,http://philasd.org/blankenburg,28
Middle Years Alternative School,MYA,Middle,Citywide,'05-08,"39.96425379, -75.21546704",4725 FAIRMOUNT AVE,http://philasd.org/mya,75
South Philadelphia High School,South Philadelphia,High,Neighborhood,'09-12,"39.9238987, -75.1691065",2101 S BROAD ST,http://philasd.org/sphs,10
Benjamin Franklin High School,Franklin HS,High,Neighborhood,'09-12,"39.963530, -75.161640",550 N BROAD ST,http://philasd.org/bfhs,12
High School for Creative and Performing Arts,CAPA,High,Special Admit,'09-12,"39.93941992, -75.16548375",901 S BROAD ST,http://philasd.org/capa,51
Science Leadership Academy Middle School,SLAMS,Middle,Neighborhood,'05-08,"39.96299243, -75.19362923",3600 MARKET ST,http://philasd.org/slams,71
Julia R. Masterman School,Masterman,Middle-High,Special Admit,'05-12,"39.96320031, -75.16620758",1699 SPRING GARDEN ST,http://philasd.org/masterman,96
